match_id,label,engage_delta,catch_delta,range_delta,tankiness_delta,dpm_delta,synergy_delta,counter_delta
NA1_5519047346,1,4,2,325,-726.470058937789,-307.294752831055,0.28566320758638286,-0.26666666666666666
NA1_5519064726,1,7,3,-550,221.305016309255,-231.22775980945,0.2253333378053346,0.5056277056277056
NA1_5510599590,0,5,0,250,-808.82050336391,-1.317218494635,0.2761017381099735,0.16102187286397812
NA1_5519156410,0,5,1,-575,656.859345663369,-249.430686926926,-0.029000397128684678,-0.14285714285714285
NA1_5519204495,1,5,2,-50,292.735258104486,-127.26286582758,0.07658285781419859,-0.4226190476190476
NA1_5513003279,1,6,1,50,53.7355644560307,196.437716597046,-0.14711131045539566,0.0
NA1_5519186900,0,3,0,1125,-646.547297615537,110.716526939243,-0.022890854574385344,0.03506493506493506
NA1_5507011376,0,5,0,50,-1035.39561818897,75.267119807186,-0.09922268570466944,0.07777777777777778
NA1_5519265599,0,4,0,25,-1453.22844143743,274.135321384069,0.43008135031267886,0.0
NA1_5518774199,0,5,2,-75,-545.942239048915,-337.569174197135,-0.1666791035103864,-0.36666666666666664
NA1_5517894732,1,2,0,-50,-265.124726118444,198.611857484562,-0.02557905939174269,-0.07142857142857142
NA1_5519164841,1,5,1,-500,230.972785327602,396.490432714692,-0.06489506498659585,-0.16666666666666666
NA1_5519055386,0,4,0,1000,-1374.08485432202,613.231849422889,-0.0660526379569778,0.34545454545454546
NA1_5516809489,1,5,1,-175,861.926831903274,-298.425214835372,-0.03046151731491364,0.3674908424908425
NA1_5519127448,0,5,0,-550,761.009884962782,626.963905847642,-0.2282017949339746,-0.55
NA1_5519229652,0,3,-2,700,-1137.50450440615,164.185828415852,0.05566821055244392,0.8373376623376624
NA1_5519059865,0,6,-1,-75,1395.5945600766,30.721099124145,-0.06539430875120729,0.09523809523809523
NA1_5519094771,0,4,0,325,-610.550433037857,-204.144494315992,-0.01924657594904524,0.5
NA1_5519110912,0,2,-2,275,-1232.28400616167,394.136255763086,0.010978264861978889,-0.005753070458952812
NA1_5517037212,0,1,-1,350,24.1896911948097,449.102989569908,0.47884736816935003,0.23333333333333334
NA1_5519091144,0,5,1,-50,-1573.19227742227,163.824339773797,0.02667682876095983,0.1214328155504626
NA1_5518994824,0,7,2,-50,667.198367731635,-531.797826995899,0.11678935567344173,1.0571428571428572
NA1_5519307299,1,3,1,-75,-793.904651418592,420.312695378054,0.2491308665808775,0.21666666666666667
NA1_5519100882,0,5,1,-125,1564.09253007119,791.241546026986,0.09983239732048266,0.3611111111111111
NA1_5519051153,1,4,0,275,-537.625502748128,-59.712738250308,0.16718657882218677,-0.019946719946719947
NA1_5519082731,0,6,1,275,-504.756949952623,-50.24172258949,-0.1508400761144236,-0.18253968253968253
NA1_5519073052,0,3,1,0,-439.202709662292,-450.226463710542,-0.028813856271001217,-0.5606060606060606
NA1_5516554776,0,6,2,-300,448.696165327208,-372.881804481386,-0.1445550188842116,0.17023809523809524
NA1_5518837861,0,7,0,-150,501.161947162863,-807.92847747305,0.14709882600386975,-0.11666666666666667
NA1_5513038357,1,4,0,-325,-50.3140407423889,-427.776365728348,0.2968751048454003,1.5702380952380952
NA1_5517133482,1,4,0,850,-1907.1545748008,-133.505591866096,0.4344150430139922,0.48253968253968255
NA1_5518432804,0,3,0,-50,-537.798535058064,-85.895159211588,-0.01620128241365036,0.34444444444444444
NA1_5519249208,0,4,1,-350,868.008517211426,280.969919261131,-0.08171862134445902,0.1
NA1_5518418444,1,7,1,-75,-742.262663299759,-312.761424459006,-0.0022251068571129615,-0.0825910931174089
NA1_5519317598,0,4,-1,-125,-377.343309874827,603.347280758744,0.15401180956237623,0.16883116883116883
NA1_5512365457,1,4,-1,-200,-1058.69207659977,864.775596029424,0.21644507150912315,-0.4222222222222222
NA1_5518555940,0,3,0,-300,847.936478591781,437.542752101668,-0.1072395728906935,-0.22857142857142856
NA1_5487952366,0,6,0,-350,1380.30098359785,181.022270147356,-0.06609016424881212,-0.2
NA1_5515762835,1,5,3,-350,-438.690893235972,216.544888589298,0.2887782295036705,0.6212121212121212
NA1_5515730848,0,6,1,-675,215.969403605766,-99.719531974882,0.29943319490265413,0.1303030303030303
NA1_5516744075,1,4,-1,0,633.742491828323,-349.258757963167,0.0974723638859786,1.438961038961039
NA1_5506337246,0,5,0,-100,1262.52410686001,319.958337303693,-0.0691308986136946,0.16666666666666666
NA1_5519130625,1,3,3,-275,967.278760768329,-455.212866812673,-0.5677966126739914,0.24285714285714285
NA1_5514787492,1,4,1,-675,-964.252133329274,324.485251589581,0.08088991819907321,0.05303030303030303
NA1_5519136019,0,4,2,-450,1897.17226768539,-256.205449650297,-0.18878587643615236,0.4
NA1_5518526992,1,4,2,-150,774.420730759057,75.021017497689,0.17671185172208925,1.0723124098124097
NA1_5517843846,0,3,-1,700,-395.320457871332,329.812256148016,-0.030100992029475405,0.7164502164502164
NA1_5513522326,1,4,-1,400,-621.950510951685,663.672883513241,0.06344761493889851,0.2064935064935065
NA1_5519276423,1,5,1,375,-602.294583511683,-324.287227670193,0.054759093580110524,0.20277777777777778
NA1_5517986554,1,3,1,375,437.522341734994,593.320024838328,-0.05315083615836214,-0.06666666666666667
NA1_5519214856,1,2,0,375,-1668.4304545476,-340.402013633847,0.008977478948201828,-1.1595238095238096
NA1_5516853994,1,4,0,0,-382.693335197565,298.752038129525,-0.2058573625704083,-1.4523809523809523
NA1_5519142068,1,4,0,300,-584.912592561009,180.839801689113,0.001141167388222052,0.7272556390977444
NA1_5516969756,1,4,2,325,-1007.16612313663,-128.548674753363,-0.4631587215254942,0.0
NA1_5519212971,0,5,-1,325,299.247948578266,691.724199361607,-0.10768346857149252,-0.853030303030303
NA1_5515720156,0,4,1,-125,768.133996049541,388.093407723367,-0.1348038755973597,-0.16666666666666666
NA1_5519069710,0,5,-1,325,-440.954939225571,92.150316972277,-0.07933504315802338,-0.05714285714285714
NA1_5516383621,1,8,1,25,-398.105849625354,-786.152459395037,0.10949313175022406,0.7666666666666667
NA1_5519113648,1,6,3,-550,327.181475797569,60.368406941593,0.1163220105494212,0.31303929988140516
NA1_5517811009,0,5,0,-300,1897.98695702948,-334.992855236685,0.09702833916770613,0.5666666666666667
NA1_5518122769,0,5,0,-375,-769.290670408525,-543.090298816527,-0.004925272809924583,0.03333333333333333
